artist,amount_of_plays
Infected Mushroom,4320
Muse,2269
Avenged Sevenfold,1989
Eminem,1768
Pendulum,931
Major Lazer,859
Mastodon,857
Kygo,820
Army of the Pharaohs,801
Fall Out Boy,780
Queens of the Stone Age,693
Big Data,680
Linkin Park,597
NF,547
Imagine Dragons,508
Daft Punk,496
Brick + Mortar,485
Kavinsky,477
Witt Lowry,473
Disturbed,446
Woodkid,438
David Guetta,437
X Ambassadors,437
The Glitch Mob,428
Unlike Pluto,413
