artist,amount_of_songs,amount_of_plays
Stephen,4,44
Machine Gun Kelly,23,65
Limp Bizkit,3,36
Men at Work,1,5
A.H M.,1,1
2Pac,5,38
D12,3,3
Black Eyed Peas,8,10
Billy Talent,12,88
Benny Benassi,13,58
Basement Jaxx,3,33
The Baseballs,3,26
Asaf Avidan & The Mojos,3,28
Anouk,3,61
Alexandra Stan,1,18
Analog People In a Digital World,2,14
Alphabeat,1,21
The All-American Rejects,1,20
Alien Ant Farm,2,31
Alcazar,2,23
Akon,4,24
a-ha,3,30
50 Cent,4,42
Thirty Seconds to Mars,4,29
3 Doors Down,3,65
The Wombats,1,5
Chase & Status,17,192
The Prodigy,57,297
Rage Against the Machine,8,72
Siames,8,38
Onlap,1,5
Jayh,1,19
Gorillaz,41,350
Brick + Mortar,23,485
Pink Floyd,18,44
Queens of the Stone Age,36,693
Tech N9ne,5,49
Hoffmaestro,1,4
Afrojack,7,88
Coone,16,74
The Ruffled Feathers,1,4
Ludwig van Beethoven,6,21
Armin van Buuren,36,148
DJ Snake,9,67
MØ,3,41
Fleetwood Mac,7,42
Florence + the Machine,11,130
Klingande,7,49
Pharrell Williams,10,85
Starship,1,5
Janieck,1,5
Jackie B.,1,29
Doe Maar,3,13
Campsite Dream,2,45
Crazy Frog,1,26
The Verve,1,24
Jedi Mind Tricks,23,135
George Ezra,2,25
Awolnation,5,45
Iggy Pop,1,3
The Rolling Stones,8,111
Lourdes,1,14
Richard Wagner,5,31
K Theory,2,19
I Am Legion,1,17
Rootkit,1,5
UB40,4,18
Vibe Tribe,3,32
MISSIO,13,96
Basshunter,3,9
Adele,3,61
MGMT,1,18
Skream,3,31
Laid Back,1,17
MoonyMan,1,14
Fedde Le Grand,4,41
Megadeth,18,130
SL4F,1,1
Status Quo,8,18
Instant Party!,2,2
Fall Out Boy,56,780
OMFG,4,109
Winne,4,43
P!nk,9,98
Crito,1,10
Johann Pachelbel,1,2
Mark Ronson,7,117
The Beach Boys,7,46
Abbey Road,3,41
Millie B,1,4
Clouseau,1,6
Lene Marlin,1,4
Martin Garrix,22,178
Our Last Night,28,404
Mika,1,5
Tina Turner,2,7
Lil Wayne,8,78
Uplink,1,3
GameMeneer,1,1
Arcando,1,7
Scooter,16,161
Jamiroquai,1,7
Lipps Inc.,1,15
Charles & Eddie,1,7
Kid Rock,1,18
ShockOne,1,20
DJ Fresh,1,25
New Order,1,3
Kick The Habit,3,21
Wax Fang,1,36
Yes,4,27
BlasterJaxx,2,18
Kenny Loggins,2,6
Death Legend,2,22
M.I.A.,1,21
Katy Perry,11,149
Kerli,1,16
Paramore,4,9
Tritonal,5,6
Panic! at the Disco,23,190
Luminox,1,30
Guillermo,1,5
Aperture Science Psychoacoustic Laboratories,2,40
Alligatoah,4,91
Dan Bull,13,82
Defqwop,1,5
League of Legends,14,167
Meat Loaf,2,25
Cartoon,10,150
Mike Posner,16,85
Kevin Drew,3,39
Red Hot Chili Peppers,3,47
Andrea Bocelli,2,5
Lune,1,26
Bruno Mars,4,39
R.E.M.,1,16
Supertramp,8,90
Priority One,2,22
Jack Holiday & Mike Candys,1,35
Keys N Krates,8,58
Slaughterhouse,9,194
The Kooks,1,2
[dunkelbunt],2,25
Regi,1,4
Depeche Mode,2,9
Sigmao,1,26
Tungevaag,4,20
Whethan,3,5
System of a Down,10,79
Prismo,1,8
Hardwell,8,103
Syzz,2,6
Stephanie J. Block,1,3
Tom Walker,5,24
Loadstar,1,53
El-P,1,1
Illenium,12,26
Matrix & Futurebound,7,48
OVERWERK,8,39
The Alan Parsons Project,1,15
Snow Patrol,14,84
Haddaway,3,20
Young MayLay,1,19
AC/DC Tribute Band,1,22
Jessie J,3,21
Yellow Claw,25,247
Faithless,4,51
Carl Douglas,1,3
Sheppard,1,3
Coming Soon!!!,3,45
Bob Sinclar,6,32
Kid Cudi,14,147
Kestutis K,1,27
Dreadnut Inc.,1,1
Europe,4,73
Parra for Cuva,2,55
Krewella,18,357
Bob Marley & The Wailers,10,91
Xerox,2,24
Ilse DeLange,1,2
Oscar Santos,1,6
DJ Shadow,4,41
Example,1,4
Of Monsters and Men,3,12
Bingo Players,4,19
Janko13k,1,7
Big Mountain,1,8
Kungs,4,28
Miley Cyrus,1,14
Tears for Fears,1,23
Sum 41,2,3
Boney M.,6,14
Ratking,1,18
Paranormal Attack,2,18
Journey,8,31
Apashe,23,132
Ramin Djawadi,3,33
It's a Cover Up,1,17
Vinnie Paz,21,143
Griz,3,23
Birdy,9,55
Paul Stanley,1,8
Billy Joel,4,27
Walk the Moon,18,68
DJ Paul,2,20
Psychic Type,1,28
88-Keys,1,3
Escape the Fate,9,59
Rag'n'Bone Man,9,63
The Romantics,1,6
Mos Def,3,50
Flo Rida,8,90
The Killers,8,76
Luis Fonsi,3,49
Kiesza,2,19
John Legend,9,104
Manian,6,30
Indila,1,2
Frank Sinatra,1,1
Yellowcard,3,65
Zara Larsson,2,31
Felix Jaehn,8,55
Yahel,2,13
Kaiser Chiefs,2,60
Ramses Shaffy,1,4
Kansas,2,42
Hurts,2,36
Alice Cooper,3,17
Jason Derulo,7,212
Technohead,1,4
Andre Hazes,3,20
Sub Focus,2,47
Boef,8,32
Liquido,1,9
Five Finger Death Punch,6,67
Lensko,2,53
The Fall of Troy,1,3
Astrix,2,33
Slander,1,3
Elton John,1,2
Vini Vici,5,17
Sidney Samson,6,34
Scatman John,2,6
Foreigner,4,29
Vicetone,8,23
Sander Van Doorn,3,40
Sub.Sound,1,1
Gnarls Barkley,1,46
Racoon,3,45
TC,1,25
Michael Sembello,2,21
Duck Sauce,4,23
Nielson,4,53
Nico & Vinz,1,32
The xx,3,78
Bløf,5,28
Celph Titled,2,85
Goldfinger,3,15
Indiana,1,19
Wiz Khalifa,5,54
Lange Frans,8,86
Taio Cruz,3,7
Hail Mary Mallon,1,31
Rise Against,12,152
Adaro,1,6
Cazzette,1,4
Tal Bachman,1,33
John Mayer,1,15
T.I.,4,21
PM Artist Sessions Project,1,6
Tove Lo,10,42
Johnny Cash,4,18
Ill Niño,2,25
Kylie Minogue,1,21
Mike Shinoda,8,24
MajorLeagueWobs,3,8
Netsky,3,56
Annakin Slayd,1,4
Desiigner,1,6
Martin Solveig,5,97
Katrina & The Waves,1,9
Bad Meets Evil,18,239
"Flowjob, Morten Granau",1,11
Stonebank,1,2
Matisyahu,8,26
Jessy,1,4
B.o.B,8,63
Frank Klepacki,3,49
K-391,2,4
Warren G,1,17
New World Sound,2,19
Datsik,2,22
James Blunt,6,76
The Animals,2,12
Ina Wroldsen,2,6
Robin S,2,30
Cypress Hill,3,53
DragonForce,4,33
The Fray,2,11
sub urban,1,3
Royal Republic,2,168
Rita Ora,2,16
Snoop Dogg,9,69
Maroon 5,9,93
Gwen Stefani,2,52
Knife Party,7,25
Jean Elan,1,18
Omi,3,44
Robin Thicke,2,39
Brennan Heart,4,28
Conkarah,1,4
Maximo Park,1,4
Nirvana,3,70
Pegboard Nerds,7,22
cYsmix,1,6
Cutting Crew,1,11
Sabaton,3,10
Danzig,1,4
Milky Chance,9,70
GAMPER & DADONI,2,7
Flux Pavilion,3,4
Toto,4,44
Ricky Martin,1,11
Wild Culture,2,24
Sam Feldt,9,161
Mass Choir,1,19
The Disco Boys,1,2
Chumbawamba,1,3
Janet Jackson,1,4
Calum Scott,2,6
Israel Kamakawiwo'ole,4,87
Sir Mix-A-Lot,1,8
Procol Harum,3,20
Jason Mraz,1,38
Flowdan,1,29
Muzz,1,4
Hux flux,2,13
CeeLo Green,3,22
Gary Jules,1,17
Teddybears,1,24
Doja Cat,1,1
A Great Big World,13,27
The Wanted,1,28
BVRNOUT,1,7
Soulja Boy,1,16
Laidback Luke,1,3
Evanescence,2,26
"Nas & Damian ""Jr. Gong"" Marley",1,17
The Goo Goo Dolls,1,6
Elize,1,3
Ben Howard,2,27
Re-Style,3,9
Upgrade,2,22
The Weeknd,26,306
DVBBS,6,46
Dreamers,2,12
Boudewijn de Groot,1,3
James Hannigan,1,15
Lesley Gore,1,24
Digital Farm Animals,2,42
No Doubt,1,30
The Offspring,5,76
James Arthur,2,5
Vinzzent,1,2
Mr. Probz,5,74
Studio Killers,1,5
From First to Last,1,17
Tom Cochrane,1,2
Lil Nas X,1,2
Diplo,10,69
Martin O'Donnell,3,16
ITP,1,13
All-4-One,1,5
Glebstar,4,83
K.Flay,2,24
Alanis Morissette,1,5
Paloma Faith,1,24
Iggy Azalea,2,10
The Pointer Sisters,1,24
Eiffel 65,4,23
Dirty Dancing Original Demos,1,1
Evil Activities,2,28
The Jane Austen Era,1,5
American Authors,3,36
Dio,1,17
Flume,11,99
Ran-D,4,25
Yello,2,9
Jimmy Cliff,1,8
Childish Gambino,14,108
Adam Lambert,1,14
Eric Prydz,6,40
Denzel Curry,1,7
Daniel Powter,1,3
New Kids,3,46
Alexander Brown,1,39
Ivan Gough,2,7
Coolio,4,30
Curtis Alto,1,3
Arctic Monkeys,13,246
Britney Spears,6,31
Acda en de Munnik,4,11
Monstaz.,2,22
Spiderbait,1,20
Hoobastank,2,31
DR Rude,1,16
Niall Horan,3,48
