artist,amount_of_songs,amount_of_plays
Stryker,1,1
WHITENO1SE,1,1
Phanatic,1,1
Lockdown,1,1
XYZed,1,1
Cosmic Flow,1,1
Audiomatic,1,1
Animato,1,1
Neelix,1,1
Dimatik,2,2
Mad Tribe,1,2
SpaceNoiZe,1,1
Inner State,1,1
Cool System,2,16
Feestdjruud,1,1
ComboBreakerHD,2,3
Nuttin' But Stringz,1,65
Post Malone,5,10
Brainpower,1,6
KOAN Sound,1,15
Zebrahead,2,26
RM,1,2
Magic!,2,13
Fetty Wap,1,25
Breathe Carolina,1,2
Golden Earring,1,19
ProleteR,2,19
London Philharmonic Orchestra,1,12
Carl Orff,3,4
Grxø,1,1
Jay-Z and Kanye West,2,2
Proximity,8,13
Priority One & TwoThirds,1,15
Block McCloud,2,28
Zware Jongens,2,3
Naughty Boy,2,36
Party Movie Massive,1,12
Sharax,1,3
Robosoul,1,12
STEREO,1,3
Lucid Plain,1,21
AC Slater,3,6
DubstepGutter,6,27
Iration,1,2
Nikolai Rimsky-Korsakov,2,2
Post Malone en Swae Lee,1,7
Trap City,6,27
STIMOBEAT,1,4
Riot,2,17
Alter.,1,1
Drop The Bassline,2,3
Invisible Lead Soup,1,1
Ghost in the Machine,2,3
Sub Zero Project & Phuture Noize,2,9
Jack Savoretti,2,2
Skan & Krale,2,12
Theis EZ,2,2
Vienna Philharmonic Orchestra,1,1
La Stravaganza,1,1
Rousseau,1,1
Ariana Grande,4,5
NEFFEX,1,6
MrSuicideSheep,1,2
Future House Cloud,1,1
Bounce United,5,17
"Apashe, Panther",1,4
Indian Askin,2,2
Dubstep Nation,2,2
Far Out,2,2
Within Temptation,1,1
Shivelight,1,4
Bokoesam,1,1
ATB,2,3
Kaleo,1,1
Boogie,1,1
Vanic,1,1
Modjo,1,4
EarthGang,2,2
Visionary Music Group,1,1
Dirty Workz,1,1
Klutch,1,1
Paul Johnson,1,1
Farley 'Jackmaster' Funk,1,4
JevonOfficial,1,1
Lemaitre,2,3
The Seige,18,52
Marilyn Manson,1,4
Beyond Radio,1,3
Arctic Empire,1,1
UNITEDubstep,1,2
Halsey,4,10
Trap Music,1,1
Syrex,1,1
AGM,1,1
Daniël Lohues,1,1
Skik,1,1
Masters of Hardcore,3,6
Arty,2,3
Reflekt & Ben Lepper,1,1
Reflekt,2,2
Epic Music World,2,6
Crystal Fighters,2,10
J3NK!NS,1,1
Sam Iverson,1,2
Lindemann,13,17
MAU5TRAP,1,1
The Black Eyed Peas,3,72
Monophonix,1,1
Cane Hill,2,6
BlackMask,1,1
Billx,2,2
Promo,1,3
DubVision,1,1
Ronnie Flex,1,2
Helion,2,3
2Scratch & Lox Chatterbox,1,3
Jorge Quintero,1,1
Emmit Fenn,2,2
Hef,1,1
Rob Bailey & The Hustle Standard,1,1
Snavs,3,3
New Adventures,13,13
Hip Hop Masters,1,1
Gunz For Hire,1,1
Sound Remedy,2,3
Stuck in the Sound,2,2
Danger,1,1
Crazy Town,1,2
Crunkz,1,1
Jay Pryor,1,1
P.E.P.E.,1,2
Truse Tarzan,1,1
Panda Eyes,5,6
Panda Eyes & Teminite,1,1
Blue Claw Philharmonic,1,1
YITT,1,2
Jean-Michel Jarre,11,11
Sam Fender,1,1
Drama B,1,6
At the Gates,2,3
Bobby McFerrin,1,1
Серёга,3,6
The Revivalists,11,17
Jubel,1,22
R.A. the Rugged Man,1,1
Fabian Mazur,3,3
Spag Heddy,3,3
SDMS,1,1
SAXITY,2,4
BooztKidz,1,1
Modestep,1,1
Nuwanda,1,1
Loud,1,2
Boggie,1,1
Aazar,1,1
edIT,4,15
Bass Boosted,1,2
The Four Seasons,1,1
Gryffin,2,6
Modern Talking,1,1
KANNIBALEN RECORDS,1,10
TrapWolves,1,2
Badfinger,2,15
Miami Beats,1,1
Calvin Harris en Sam Smith,1,4
matbow,1,1
InfectedMushroom,5,8
Tribal Trap,10,14
Interscope Records,1,1
2Scratch & TAOG,1,1
ODESZA,5,8
Fiona Winicki,1,1
Prodıgy,4,6
Confetti,1,4
Aviva,1,1
Hippie Sabotage,1,1
Dennis Lloyd,2,2
oneone,1,1
Alec Benjamin,1,1
Danny Olson,1,1
Travis Scott,1,3
Rainbow,2,2
AC Slater & Wax Motif,1,1
G-Eazy,3,11
Garmiani & Salvatore Ganacci,1,5
MJ,1,2
Lil Peep,18,20
Florian Paetzold,1,1
Lilly Wood & The Prick,2,4
Justin Caruso,2,3
André Hazes,3,9
Angerfist,13,20
Pegboard Nerds & Tristam,1,5
Tha Playah & Nosferatu,1,2
The Best,1,1
Dr. Peacock,24,32
Italobrothers,3,3
Fart in a Jar Martin,1,1
Crew Cardinal,1,1
Rain Man & Krysta Youngs,1,1
JVNA,1,1
Panda Eyes & Barely Alive & Virtual Riot,1,3
"Anton Ishutin, Deniz Reno",1,2
The Guy Who Needs To Win Everything,1,1
Kud,2,2
Nath Jennings,1,2
Nightcore,1,2
Downloadz,1,1
Travie McCoy,1,3
Tyga,2,5
What So Not,17,55
XYconstant,1,2
Skylar Grey,1,1
Alesso,4,29
Disciple,1,1
Alfons,1,1
Diddy - Dirty Money,2,3
Zayn,2,3
Chris Brown,1,2
Nelly,1,1
Radical Redemption,2,2
Secondcity,1,1
Jeremih,1,1
Charlie Puth,2,7
DJ Jean,1,1
Sharks,1,1
Linker,1,1
Fifth Harmony,4,8
Wat is jouw favoriete lichaamsdeel?,1,1
Kenny B,1,2
Nik Cooper,1,1
D-Block & S-te-fan (DBSTF),1,1
Tourist Lemc,2,3
Lil Kleine,3,4
Anime,1,1
3LAU,3,3
DROELOE,2,2
92elm,1,2
Vin Bogart,1,1
Hyume,1,1
Wanbs,1,1
"QUICKLY, QUICKLY",1,1
G Eazy & Halsey,1,1
KROWW,1,1
Audioslave,1,1
(G)I-DLE,3,5
Saltt,1,1
Waysons & R3HAB,1,1
CloudKid,1,1
Calvin Harris en Disciples,2,9
Robert Miles,1,2
Kokiri,2,3
asaa,1,1
Trap,7,7
RD Urbans Music ✅,1,1
NCS,1,1
Delete,1,1
Bearson,1,1
Kaskade,3,3
Blinders,1,1
The Doors,1,3
Undertale,1,1
Reverence,1,2
Obie Trice,1,1
Lil' Kleine en Ronnie Flex,1,1
Mr. Polska,3,3
Topnotch,2,2
Gareth Emery & Emma Hewitt,1,1
MrBetaxe,1,2
EllieGoulding,1,1
Modest Mouse,4,5
Space Buddha,1,4
Sasha Sloan,1,1
noahsarklabel,2,2
Chime,1,1
Da Tweekaz,3,6
YoungBoy Never Broke Again,2,3
Rae Sremmurd,2,4
Roddy Ricch,1,2
"Vini vici, Blastoyz, Jean Marie",1,1
Frenna,1,1
TrackGonEat,1,1
Joyner Lucas,3,7
Cheat Codes x Kris Kross Amsterdam,1,1
Delete Ft. Tha Watcher,1,1
Frontliner,1,1
Janelle Monáe,1,1
Bizzey en Boef,1,2
Merol,1,1
Sound Rush,1,1
EveGodat,1,1
Aero Chord,2,3
Jordan Comolli,1,1
Two Feet,2,11
Andrew Gold,1,1
Rex Sounds,1,2
Quality Out Records,1,1
Bass Modulators,1,1
Future's Finest,1,1
Carnage,5,36
Chapeleiro,1,1
Act of Rage,1,1
Lit Lords,1,1
Apollo Tribe,2,2
Lookas,1,2
"Armin van Buuren, Shapov",2,3
"Armin Van Buuren, Alexander Popov",1,1
"Armin Van Buuren, Rising Star",1,1
Synthatic,1,1
Kit Hype,1,2
Alien Records,1,1
alanasingh6,1,1
Project One,2,2
Night Tales,1,1
George Fitzgerald,1,1
Marian Hill,1,2
Claptone,1,1
Jan Blomqvist,3,3
Cosmo's Midnight,1,1
tim legend,1,1
San Holo,5,5
Dzeko & Torres,2,5
live 8,1,2
Mo-Do,2,2
Desire,1,1
Undercover,1,4
Itay Levy,1,1
Selena Gomez,1,1
Tropical Bleyage,1,1
Chicago,1,1
Tom Day,4,8
Fantasy Project,1,1
Belik Boom,3,4
Jolen,1,2
Cobra Starship,1,1
Kendrick Lamar,10,12
Cardi B,2,2
Nicky Romero,1,1
Cash Cash,3,3
Fais,2,3
"Stephen ""Ragga"" Marley",1,1
Blue Foundation & Zeds Dead,1,3
Tim White,1,2
Extreme,1,1
Freddie Mercury,9,14
טונה,1,2
slushii,2,2
מוטי טקה,1,1
Hadag Nahash,3,3
Stephen Marley,1,1
Getter & Datsik & Barely Alive,1,1
Sephyx,2,5
Highlight Tribe,1,15
Reliqium,1,2
Joe Stone,1,1
Tough Love,2,2
Just Kiddin,2,2
The Magician,2,2
Mike Mago,2,2
Storm Queen,1,1
Michael Calfan,4,5
Sigala,4,22
Kristine Blond,1,1
Gizelle Smith,1,1
LuvBug,1,1
John Gibbons,1,1
Shift K3Y,1,1
Caroline D'Amore,1,1
Blonde,3,5
MK,1,1
TCTS,1,1
Firebeatz,1,1
K-BILLY,1,1
Husman,1,1
Willem de Roo,1,1
Julian Jordan,1,1
Singer's Edge Karaoke,1,1
Cat Dealers,1,1
Ronald Goedemondt,1,1
The Galaxy,1,1
Frequencerz,1,1
D-Sturb,1,2
"EPMD’s Parish PMD Smith, Snowgoons & Sean Strange",1,1
Palm Trees,1,1
MSTRMND,1,1
Ronnie Darko,1,1
Virtual Riot,1,1
Crypsis,1,1
Shockwave,1,1
Gabe Prusa,1,1
LAXX,1,2
Sub Zero Project,1,1
Pentatonix,2,5
Red Velvet,1,1
Thank You Scientist,1,1
BLACKPINK,2,5
Lim Kim,2,2
Kuuro,1,1
Krono,1,1
Aaron Smith,1,1
Miike Snow,1,1
Purple Haze,1,1
Loud Luxury,1,1
Haliene,1,1
Cosmic Gate,1,1
Omnia,2,2
Super8 & Tab,2,2
Jeremy Vancaulart,1,1
Signum,1,1
Mark Sixma,1,1
Andrew Bayer,1,1
RDGLDGRN,1,1
DP Crew,1,1
STOTO,1,1
JayKode,1,1
Diabolic,1,1
Yves Larock,1,1
Ponti,1,1
Kodak Black,4,4
Phuture Noize,1,1
Little Mix,2,2
Bebe Rexha,1,1
half•alive,1,2
Trois Cafés Gourmands,1,1
Troye Sivan & Jónsi,1,1
I DONT KNOW HOW BUT THEY FOUND ME,1,1
Royal Blood,2,4
Omar Linx,10,11
Dominic Fike,5,6
Walk Off the Earth,1,1
XXXTentacion,8,10
Truth Hurts,1,1
Kuren,4,4
Psychedelic Universe,1,1
Wasted Penguinz,2,3
Larry Lurex,2,2
Wobblecraft,2,3
Sensory Tunes,1,1
Anne-Marie,6,8
One Direction,1,2
Necro,1,2
הדג נחש,7,16
Unique Vibes,1,1
Vincent,1,1
Dimitri Vangelis & Wyman,1,1
Clean Bandit feat. Demi Lovato,1,1
Calvin Harris & Dua Lipa,1,3
Burak Yeter,2,2
Kyla La Grange,2,10
Max Manie,1,1
Corey Hommel,1,1
Midnight Kids,1,1
TehGee,1,1
Naira Marley,1,1
Ernesto Cortazar,1,1
Highly Suspect,1,1
Lorenn Art,1,1
Aminium Music,1,1
Troye Sivan,2,3
SAMAHTA,1,1
The Delta,1,1
Marco V vs. Jens,1,1
Ferry Corsten,2,2
Jochen Miller,1,1
Art of Trance,1,1
Dakota,1,1
Ambassador,1,1
Dido,1,1
Vincent de Moor,1,1
Andain,1,1
Daphne Loves Derby,3,3
What So Not & Branchez,1,1
Infinity Ink,1,2
Bass Music Movement,1,2
Daughter,1,1
Gesaffelstein,1,1
Grimes,1,1
Ex:Re,1,1
Slipknot,2,6
Barns Courtney,1,5
Apocalyptica,7,7
Coldplay & Big Sean,1,1
Samuel Barber,1,2
Kanka,2,2
Adam WarRock,1,1
Dominik Omega,1,1
Emigrate,1,2
Zayde Wolf,2,2
BTS,1,1
Jennie,1,2
Kygo & Selena Gomez,1,1
Ski Mask the Slump God,1,1
Jamie xx,1,1
POP/STARS,1,1
Paxima,3,3
Break,1,2
Jackal,1,1
Years & Years,2,31
Of Mice & Men,1,1
LMFAO,1,1
Mobb Deep,1,1
Nothing More,1,1
Nova Schola Gregoriana,1,1
MOMOLAND,2,5
Jamie Berry,2,6
2Scratch & M.I.M.E,1,2
Fearless Motivation Instrumentals,1,1
Todd Helder,1,2
Tommy,1,1
Blackmill,2,2
Nils Frahm,4,6
Yiruma,2,27
Ólafur Arnalds,3,3
Fabrizio Paterlini,4,6
Ludovico Einaudi,3,5
Yann Tiersen,1,39
dbo,1,1
Piano Tribute Players,1,1
mustang19ms,1,1
Tape Five,1,1
M-22,2,2
Mandragora,3,5
Dr CoZmo,1,1
Nouveau Riche,1,1
Jairzinho,1,1
MDK,1,1
White Paper,1,1
OhMIE,1,1
Salt-N-Pepa,1,1
Epic Rap Battles Of History,21,205
JT Music,1,1
Teamheadkick,1,1
Sheck Wes,1,1
SFB,1,1
Lil Kleine en Ronnie Flex,1,1
TheNightcoreWitcher,1,3
Azet & Zuna,1,1
Mero,1,1
Absence,1,1
Major Lazer [OFFICIAL],1,1
Martin Neupert,1,1
Reef The Lost Cauze,1,1
Sullivan King,1,1
Armin van Buuren en Vini Vici,1,5
Kati Wolf,1,1
6ix9ine,1,1
Oticher,2,3
Groove Coverage en W&W,1,2
Five Knives,2,4
Cazzette en AronChupa,1,1
Moonwalkstudio,1,1
"Yung Quis ""FRIENDS"" (WSHH Heatseekers",1,1
GOT7,1,1
Lost Kings,2,2
Dillon Francis,1,2
$hirak,1,1
"Frenna, Boef en DJ Madam Julie",1,1
Sound of Soul,1,1
The 1975,4,6
Silk City en Dua Lipa,1,1
Ellie Goulding en Diplo,1,1
Gewoon Boef,2,3
Taska Black,2,2
DJ Jewels Baby,13,13
Ar-Ab Obh,1,1
timwestwood,1,1
Sociopath vs Psychopath,1,1
Dead or Alive,1,1
DifferentPulses,1,1
College,1,1
CollegeHumor,2,12
Bad Bunny Ft. Drake,1,1
BeezilBuB,14,16
Listenbee,1,3
Edm sphere,2,7
0shahar236,2,6
Infected With Hallucinogens & Psychedelic Mushrooms,1,1
Birouka,1,3
RandomMusicAndMore05,1,1
FireBug666,1,1
Stoore7,1,1
pivotomega123,1,1
Jacob Ward,1,1
TheDornado,1,1
WOW,1,1
M0nci0,1,1
DJ Snake en Lil Jon,1,1
OFENBACH,1,1
TELYKast ft. Melody Federer,1,1
Lil' Kleine,6,11
WorldStarHipHop,1,1
John Lemon,1,1
Bonkaz,1,1
Pentakill,1,1
Au/Ra,1,2
Anderson .Paak,2,2
Dario Marianelli,7,7
Julie London,1,1
Alok en Bruno Martini,1,1
Mt Eden,1,1
Lxandra,1,1
DJ Skandalous,1,1
Sound Adventures,1,1
Really Slow Motion,1,1
HowToBasic,1,1
"Jay Z, Kanye West",1,1
Alison Wonderland,3,3
Aerosmith,1,2
Kristoffer S B,1,1
jessbabe1995,1,1
Ultrabeat,1,1
Ian.Vaux,1,1
ShortAss05,1,1
basti_leo1993,1,1
Waylon Jennings,1,1
The Highwaymen,1,1
André van Duin,1,1
Sevenn en Tiësto,1,1
TranceSFX,1,1
Sonido Liberto,1,1
Black Violin,1,1
SoundWaveZ,1,1
Note Boss โหดสัส,1,1
Guy Balmas,1,1
Dr. Peacock en Crypton,1,1
mewithoutYou,1,1
oNlineRXD,1,1
Zack Gray en Nurko,1,1
x1te,1,1
Blur,5,5
Hatikwa,1,1
Mahmut Orhan,1,1
The Weeknd en Kendrick Lamar,1,1
Maruv en Boosin,1,1
FC RandomTV,1,1
Vadim Chaimovich,1,1
"KPM Philharmonic Orchestra, Hieronym Baltazar en Maciej Korczaky",1,1
RobTheImpure,1,1
Mahmut Orhan en Colonel Bagshot,1,1
LAY en Alan Walker,1,1
James Major,1,1
Yelawolf,1,1
"Infected Mushroom, Jetlag Music en Hot-Q",1,1
Timmy Trumpet en Dimatik,1,2
EURINGER,2,2
The Carters,1,1
Sam Tinnesz,2,2
The Strokes,3,3
The Left Rights,2,2
Silversun Pickups,1,1
The Official (Karaoke),1,1
Going Quantum,1,1
El profesor,1,1
Shinedown,4,12
Throttle,2,2
JAY-Z en Kanye West,2,4
Clozee,1,1
AronChupa en Little Sis Nora,1,1
Mustard Pimp,1,1
Kill the Noise,1,1
Bea Miller,1,1
Skrillex en Rick Ross,1,1
Christina Grimmie,3,3
fake shark real zombie,1,1
Zeds Dead,5,113
Speaker of the House,2,2
PSYMAFIA ॐॐॐ ॐॐ,1,1
Vini Vici en W&W,1,1
Joe Shmoe,1,1
"Sefa, Crypton",1,1
"Sefa, Dr. Peacock",2,3
Walston x yesyes,1,1
Cyclon,1,1
"Sefa, Hyrule War",1,1
"Sefa, Vertex, Crypton, Cyclon",1,1
James Arthur en Anne-Marie,1,1
"Diplo, French Montana en Lil Pump",1,1
RMX5900,1,4
"Diplo, Zhavia Ward en Lil Pump",1,1
Jebroer en Jebroer & DJ Paul Elstak,1,1
Simon Vilhelmsen,1,1
vegaobscura7,1,1
kranstick,1,1
A Perfect Circle,1,1
Paul Oakenfold,3,10
Grasmat,1,1
wesly bronkhorst,1,1
De Voetbal Kids,2,3
Inverse Phase,1,1
cra,1,1
Meek Mill,1,1
broederliefde,1,2
A.Keys,1,1
Benjamin Britten,1,1
2Cellos,3,7
Bigbang,1,1
Super Junior,1,1
FlowSik,1,2
Technotronix & Ingo Bergsen,1,1
Technotronic,1,1
Dutch Party,1,1
DIMMI,1,1
Michal Menert,1,1
The Black Keys,1,6
Ozuna,1,1
Dr Peacock,1,10
Jason Chen,1,2
Jess Glynne,1,1
Bizzey,2,2
ChaosCTRL,1,1
iEddy Gaming,1,1
Brian Tyler,1,1
Powerwolf,2,2
Jason Hayes,1,1
Ice MC,1,1
Alice Dj,1,1
Sean Dagher,1,2
Marcos Marin,1,1
Ennio Morricone,5,5
Walton Goggins,1,1
Tim Roth,1,1
Valentina,1,1
Mustard,1,1
aka george,1,1
Kristen Bell,1,1
Josh Gad,1,1
Christophe Beck,1,1
Kimyan Law,1,1
Adam Jensen,1,1
Royal Deluxe,1,1
Oh The Larceny,1,1
Samuel L. Jackson,1,1
Plain White T's,2,23
Demi Lovato,1,1
Jonna Fraser,1,1
Kataklysm,1,1
Lijpe,1,1
O.S. Collective,1,3
Kinderkoor Klavertje Vier,1,1
Fiona Apple,2,2
Apollo 100,1,2
New Harbour City Musical Ensemble,1,1
Hollywood Movie Theme Orchestra,1,3
Doodskop,1,2
Max Richter,7,13
Stayloose,1,2
Geechi,1,1
Black Veil Brides,1,2
Revival Mode,1,1
Scott Benson Band,1,1
Neophyte,2,6
ESV Eastside Villainz,1,1
Brains,1,2
Equilibrium,1,1
Yatta,1,1
Lil Lar,1,1
Rello4011,1,1
Vanessa Amorosi,1,1
AronChupa,1,28
asdfgfa,1,1
Snappie,1,1
Anna Metric,1,17
MF DOOM,3,4
Taeyang,10,12
Mozzy,1,1
George Thorogood & The Destroyers,1,1
Apathy,1,1
The Who,1,2
Dub Fx,2,12
The Future Sound of London,1,1
MiM0SA,1,1
Leonardo Andrade,1,1
Savage Garden,1,3
Dusty Springfield,1,1
Superorganism,1,1
Kasger,1,22
Jean-Michel Blais,2,24
JAXSON GAMBLE,1,1
Theory of a Deadman,3,5
EUT,1,1
Porcupine Tree,1,2
Jaydon Young,1,33
Caro Emerald,2,15
Maître Gims,1,12
Mark With a K,1,6
Montell Jordan,1,14
Adventure Club,2,9
Disfigure,1,25
Lauv,1,4
JOSCO,1,9
OPIUO,1,20
Starsplash,1,17
Ahzee,2,2
Martin Tungevaag,1,2
Maurizio Mastrini,1,1
Peter Fox,1,8
Seams,1,1
Youngblood Hawke,1,20
Smooth Jazz All Stars,1,9
Roldan Law,1,1
K.I.Z,1,1
Kayef,1,1
Trailerpark,1,1
Sound Assembly,1,1
Massive Attack,2,4
Kenny And The Scots,1,2
ARVFZ,1,1
Valentina Egli,1,3
Myrne,1,1
Blanke.,1,1
Evil Nine feat. EL-P,1,2
RL Grime,1,2
Mick Gordon,5,17
Hucci & Stooki Sound,1,3
Favulous,1,2
Deepend,1,1
Lucian,3,4
Thompson,1,1
Trap Music HD,1,1
FwuF,1,1
Massappeals,1,1
Hucci,1,1
Andy Galea,1,1
Disero,1,1
Bousmara Division N°1,1,1
The Lazy Boyz,1,26
Tropkillaz,2,2
Moti,1,2
Ryan Riback,1,2
Reel Big Fish,1,1
Robert DeLong,1,1
Sigma,2,6
Ace Ventura,1,1
Paul Elstak,4,8
Imany,1,5
Jonny Royall,1,1
Ivan B,4,15
Orjan Nilsen,1,3
Quinn XCII,1,2
Kids See Ghosts,2,5
Nas,3,5
Max Frost,1,1
Seeb,1,4
Ivon,1,1
Asaf Avidan,1,6
Ollie,1,1
Jay Z & Kanye West,2,2
SynSUN,1,1
LastQuincy,1,1
NGHTMRE,3,4
DJ Manian,1,1
Norman Cook,1,2
Meg & Dia,1,6
"K Theory, Social Kid",1,1
Rudi Feenstra,1,1
Jason Derülo,1,3
Blue Swede,1,24
Hailee Steinfeld,1,1
Camila Cabello,1,3
De Stoempers,1,1
Cris Cab,1,13
Liam Payne,1,1
Logan Henderson,1,1
Justin Bieber,1,1
Haezer,1,1
Mord Fustang,1,1
Brooks,1,1
Zatox,1,1
Moby,5,33
America,2,19
Grizfolk,6,8
Seafret,2,2
Bad Suns,3,3
Nothing But Thieves,5,7
Jaymes Young,4,4
Fitz and the Tantrums,2,2
Joywave,2,2
Atlas Genius,1,1
The Mowgli's,1,1
Matt and Kim,1,1
New Politics,2,2
Thousand Foot Krutch,2,2
P.O.D.,1,1
Hollywood Undead,4,4
Skindred,1,1
Megaherz,1,1
Fear Factory,1,2
The Howlin',1,1
Marnik,1,1
Voidoid,1,1
Gramatik,1,9
Dimitri Vegas  Like Mike,1,2
Alkilados,1,1
Tristania,1,1
Aphex Twin,2,2
Petit Biscuit,2,3
Cosma,1,1
Simple Plan,14,17
Sevn Alias,2,2
Deep Chills,2,2
Tchami,3,3
Charly Lownoise & Mental Theo,1,1
1200 Micrograms,1,1
Hilight Tribe,1,1
Cheryl,1,13
Couzare & Bossfight,1,9
Ahrix,1,15
John Christian,1,1
Shaggy,1,1
Avril Lavigne,1,1
DJ Jazzy Jeff & The Fresh Prince,1,1
Enyo,1,20
The Griswolds,1,1
Snails,1,1
Rain Man,1,1
Talpa,1,7
N.E.R.D.,1,50
CMC$,1,2
Despariah,1,18
Stephen Swartz,1,12
We the Kings,1,1
Good Charlotte,1,1
Neck Deep,1,1
Taking Back Sunday,1,1
Sugababes,1,11
All That Remains,12,21
Brothers Of Metal,12,12
The Raconteurs,1,1
Puddle of Mudd,1,1
Simian,1,19
Dark Oscillators,1,4
Michael Gracioppo,1,1
Norah Jones,1,1
NOFX,1,1
Woods,1,1
Ember Island,1,1
Nikki Yanofsky,1,1
Eric Bellinger,1,1
Bone Thugs-N-Harmony,3,3
Joybiza,1,1
Stafia,1,1
Young Dread,1,1
Matthias,1,1
Eric Church,1,1
Ghost Town,1,1
Obongjayar,1,1
Griffinilla,1,1
Timber Timbre,1,1
Sinkane,1,1
Creeper,1,1
Detroit Swindle,1,1
Mo Vibez,1,1
Uncle Acid & the Deadbeats,1,1
EDX,2,3
Blood Command,1,13
Hermitude,1,1
Jane XØ,1,2
Ella Vos,2,3
Spirix,1,1
Hakimakli,1,1
Faul,1,1
Hiddn,1,1
Autograf,2,3
HEUSE,1,1
1WayTKT,1,1
Nora En Pure,4,5
Ferreck Dawn,1,3
Cookin' On 3 Burners,1,1
PLVTINUM,1,1
Golden Vessel,1,1
Inna,1,1
BANKS,1,1
Tez Cadey,2,2
Elephante,2,2
Matthew Koma,1,1
Arman Cekin,3,3
Marvin Gaye,1,1
Said The Sky,2,3
Freischwimmer,1,1
Felix Cartal,2,2
HAUX,1,1
Jerry Folk,1,1
Jai Wolf,2,3
Alina Baraz,2,2
DJ Henry X,1,1
RÜFÜS DU SOL,1,1
Sophie Francis,1,2
Marcus Mouya,1,1
Kiso,2,2
Spada,1,1
AU8UST,1,2
Boxinbox & Lionsize,1,1
Khrebto,1,1
Josef Salvat,1,1
El Mukuka,1,1
Simioli,1,1
Steve Angello,1,1
Borgeous,1,1
Gregori Klosman,1,1
Always Never,1,1
Lipless,1,1
No Way Back,1,1
Sons Of Maria,2,2
Moguai,2,3
Filous,1,1
Justin Prime,1,1
Steve James,1,1
Take/Five,1,3
Louis Futon,1,1
A R I Z O N A,2,3
Calippo,1,1
Frank Pierce,1,1
Cedric Zeyenne,1,1
Mura Masa,3,3
VALNTN,1,1
Feder,1,1
NuYuh,1,1
Daddy's Groove,1,1
The Him,2,2
Jewelz & Sparks,1,1
Manotett,1,1
Mako,1,1
SNBRN,2,2
No TV No Radio,1,1
Denny White,1,1
RÜFÜS,2,2
XYLØ,1,1
Without,1,1
LANY,1,1
Bipolar Sunshine,1,1
Filterheadz,1,1
The M Machine,1,1
Opia,1,1
Anna of the North,1,1
Astrid S,1,14
Trivium,1,1
Devin Townsend Project,2,2
Periphery,2,2
Kvelertak,2,3
Protest the Hero,1,1
Nevermore,1,1
Darkest Hour,1,1
Smart Baby Lullaby,1,1
Anathema,1,1
Interpol,1,1
Arcade Fire,1,2
Kasabian,3,4
Tame Impala,3,3
Mac DeMarco,1,2
Foals,3,3
Vince Staples,1,1
Broken Bells,1,2
Bloc Party,1,1
Chase & Status And Blossoms,1,3
Animals as Leaders,1,1
Lamb of God,1,1
Machine Head,1,1
Left To Vanish,1,1
Milestones,1,1
Hank Williams,1,1
Death Grips,1,1
Dennis Kruissen,1,1
Hearts & Colors,1,2
Fred V & Grafix,1,1
Goldie,1,1
Drumsound & Bassline Smith,1,1
Waterflame,1,1
Jimi Hendrix,1,1
Hawkwind,1,1
Rob Gasser,1,4
Rilan & The Bombardiers,1,1
Iron Maiden,1,1
Måns Zelmerlöw,1,1
Niels Geusebroek,1,1
Bare Jams,1,1
Ezra Vine,1,1
China Lane,1,1
Douwe Bob,1,1
Jakub Ondra,1,1
Dan Auerbach,1,1
Matstubs,1,2
Feyenoord Selectie '92,1,1
Red&White Crowd,1,1
LeeTowers,2,2
Egypt Central,1,1
Chevelle,2,2
Mudvayne,1,1
Bullet for My Valentine,2,3
The Used,1,1
Stone Sour,1,1
TobyMac,1,1
Pretty Lights,1,1
Maduk,2,3
Nero,12,38
lny tnz,1,9
Moriarty,1,2
Different Heaven,1,1
Evix,1,1
Hollywood Principle,2,6
Emma Bale,1,2
Heikki Kuula,1,1
Cryptex,1,1
Grant Smillie,1,1
Dinka,1,1
Hatikva 6,1,3
Flyleaf,1,1
Vexare,1,1
Live My Last,1,1
Down In Ashes,1,1
Sunstars,1,1
Türküm,1,1
Activator,1,1
Sonic Syndicate,1,1
Dyprax,1,1
Michael Kiwanuka,2,2
NORDe,2,4
Sebastien Drums,1,2
Dirtcaps,1,2
Ben Hobbs,1,2
Manatee Commune,1,1
Hounded,1,1
Cruels,1,1
Michael Brun,2,2
Set Mo,1,1
Liv Dawson,1,1
Jones,1,1
Maverick Sabre,1,1
Krrum,1,1
Alice Jemima,1,1
Chinah,1,1
Polographia,1,1
Loyal,1,1
Joe Goddard,1,1
Offaiah,2,2
The Avener,1,1
Nihils,1,1
Bonobo,2,2
Win and Woo,1,1
Vérité,1,1
Nicolas Haelg,1,1
Tom Redwood,1,1
Lido,1,1
Mr. Tophat,1,1
Boehm,1,1
With You.,1,1
Stereo Express,1,1
Shelco Garcia & TeenWolf,1,1
Kllo,2,2
Cubicolor,2,4
Rozes,1,1
Melle Jutte,1,1
Hedia,1,1
Andrew Luce,1,1
Hudson Scott,1,1
SirOJ,1,1
Honne,1,1
Ed Wells,1,1
Monsieur Adi,1,1
SRTW,1,1
Le Youth,1,1
Frost,1,1
Sälen,1,1
Nyxen,1,1
Coucheron,1,1
Movement,1,1
Rhodes,1,1
Ry x,1,1
LIOHN,1,1
Nathan Goshen,1,1
Lucas Nord,1,1
Kr3Ture,1,1
Boa,1,1
Brandyn Burnette,1,1
Lo,1,1
Owkey,1,1
Rachèl Louise,1,1
Gavin James,1,1
