date,plays
2017/03/11,6
2017/03/12,94
2017/03/13,133
2017/03/14,140
2017/03/15,263
2017/03/16,137
2017/03/17,55
2017/03/18,169
2017/03/19,216
2017/03/20,184
2017/03/21,127
2017/03/22,57
2017/03/23,89
2017/03/24,98
2017/03/25,155
2017/03/26,121
2017/03/27,50
2017/03/28,137
2017/03/29,237
2017/03/30,194
2017/03/31,117
2017/04/01,78
2017/04/02,20
2017/04/03,32
2017/04/04,111
2017/04/05,240
2017/04/06,254
2017/04/07,176
2017/04/08,122
2017/04/09,273
2017/04/10,95
2017/04/11,59
2017/04/12,42
2017/04/13,45
2017/04/14,9
2017/04/15,57
2017/04/16,113
2017/04/17,38
2017/04/18,83
2017/04/19,82
2017/04/20,72
2017/04/21,138
2017/04/22,129
2017/04/23,37
2017/04/24,88
2017/04/25,78
2017/04/26,26
2017/04/27,3
2017/04/28,73
2017/04/29,156
2017/05/01,2
2017/05/02,60
2017/05/03,28
2017/05/04,60
2017/05/05,110
2017/05/06,55
2017/05/07,27
2017/05/08,70
2017/05/09,142
2017/05/10,111
2017/05/11,101
2017/05/12,18
2017/05/13,104
2017/05/14,20
2017/05/15,38
2017/05/16,39
2017/05/17,19
2017/05/18,13
2017/05/19,38
2017/05/21,1
2017/05/22,40
2017/05/23,71
2017/05/24,71
2017/05/25,170
2017/05/26,143
2017/05/27,10
2017/05/28,34
2017/05/30,36
2017/05/31,61
2017/06/01,95
2017/06/02,111
2017/06/03,25
2017/06/04,33
2017/06/05,93
2017/06/06,63
2017/06/07,20
2017/06/08,127
2017/06/09,129
2017/06/10,98
2017/06/11,108
2017/06/12,91
2017/06/13,21
2017/06/14,80
2017/06/15,119
2017/06/16,87
2017/06/17,118
2017/06/18,3
2017/06/19,26
2017/06/20,40
2017/06/21,47
2017/06/22,52
2017/06/23,174
2017/06/24,41
2017/06/25,102
2017/06/26,121
2017/06/27,158
2017/06/28,55
2017/06/29,102
2017/06/30,80
2017/07/01,38
2017/07/02,22
2017/07/03,2
2017/07/04,10
2017/07/05,28
2017/07/07,20
2017/07/08,2
2017/07/09,14
2017/07/10,53
2017/07/11,111
2017/07/12,10
2017/07/13,52
2017/07/14,47
2017/07/15,4
2017/07/17,10
2017/07/18,13
2017/07/20,29
2017/07/22,33
2017/07/23,165
2017/07/24,241
2017/07/25,18
2017/07/26,21
2017/07/27,14
2017/07/28,34
2017/07/29,38
2017/07/30,22
2017/07/31,17
2017/08/01,65
2017/08/02,40
2017/08/03,67
2017/08/04,136
2017/08/05,145
2017/08/06,105
2017/08/07,25
2017/08/10,13
2017/08/11,13
2017/08/12,36
2017/08/13,29
2017/08/14,156
2017/08/15,16
2017/08/16,6
2017/08/17,16
2017/08/18,4
2017/08/19,22
2017/08/21,44
2017/08/22,128
2017/08/23,93
2017/08/24,21
2017/08/25,129
2017/08/26,88
2017/08/27,60
2017/08/29,50
2017/08/30,31
2017/08/31,23
2017/09/01,11
2017/09/02,8
2017/09/03,45
2017/09/04,195
2017/09/05,67
2017/09/06,39
2017/09/07,50
2017/09/08,74
2017/09/09,171
2017/09/10,59
2017/09/11,72
2017/09/12,13
2017/09/14,15
2017/09/15,31
2017/09/19,9
2017/09/20,19
2017/09/21,21
2017/09/22,34
2017/09/23,16
2017/09/24,15
2017/09/25,3
2017/09/26,4
2017/09/27,20
2017/09/28,18
2017/09/29,14
2017/09/30,23
2017/10/01,57
2017/10/02,62
2017/10/03,24
2017/10/04,5
2017/10/05,24
2017/10/06,29
2017/10/07,114
2017/10/08,162
2017/10/09,123
2017/10/10,50
2017/10/11,21
2017/10/12,53
2017/10/13,53
2017/10/14,25
2017/10/15,37
2017/10/16,40
2017/10/17,53
2017/10/18,29
2017/10/19,16
2017/10/20,67
2017/10/21,104
2017/10/22,68
2017/10/23,46
2017/10/24,3
2017/10/25,20
2017/10/26,99
2017/10/27,7
2017/10/30,5
2017/11/02,5
2017/11/03,88
2017/11/04,29
2017/11/05,166
2017/11/06,6
2017/11/07,10
2017/11/08,30
2017/11/09,61
2017/11/10,48
2017/11/11,2
2017/11/12,3
2017/11/20,38
2017/11/21,143
2017/11/22,86
2017/11/23,133
2017/11/24,124
2017/11/25,13
2017/11/26,15
2017/11/27,47
2017/11/28,216
2017/11/29,156
2017/11/30,91
2017/12/01,35
2017/12/02,115
2017/12/04,26
2017/12/05,37
2017/12/07,50
2017/12/08,29
2017/12/09,23
2017/12/10,27
2017/12/12,49
2017/12/13,24
2017/12/15,5
2017/12/16,107
2017/12/17,21
2017/12/18,23
2017/12/19,128
2017/12/20,194
2017/12/21,170
2017/12/23,61
2017/12/24,118
2017/12/26,49
2017/12/27,54
2018/01/01,36
2018/01/02,35
2018/01/03,108
2018/01/04,36
2018/01/05,186
2018/01/09,7
2018/01/11,11
2018/01/12,39
2018/01/13,24
2018/01/15,69
2018/01/16,143
2018/01/17,90
2018/01/18,34
2018/01/19,43
2018/01/22,60
2018/01/23,63
2018/01/25,77
2018/01/27,33
2018/01/29,39
2018/01/30,46
2018/02/02,43
2018/02/03,104
2018/02/04,82
2018/02/05,14
2018/02/06,62
2018/02/07,47
2018/06/21,15
2018/06/22,146
2018/06/23,134
2018/06/24,160
2018/06/25,184
2018/06/26,117
2018/06/27,79
2018/06/28,116
2018/06/29,141
2018/06/30,89
2018/07/01,36
2018/07/02,46
2018/07/03,40
2018/07/04,37
2018/07/05,75
2018/07/06,28
2018/07/07,60
2018/07/09,87
2018/07/10,14
2018/07/11,59
2018/07/12,77
2018/07/13,16
2018/07/14,11
2018/07/15,39
2018/07/16,47
2018/07/17,22
2018/07/18,29
2018/07/19,20
2018/07/20,47
2018/07/21,19
2018/07/22,38
2018/07/23,23
2018/07/24,50
2018/07/25,34
2018/07/26,41
2018/07/27,17
2018/07/29,32
2018/07/30,18
2018/08/01,10
2018/08/02,7
2018/08/03,39
2018/08/04,7
2018/08/06,8
2018/08/07,51
2018/08/09,14
2018/08/10,26
2018/08/11,24
2018/08/12,31
2018/08/13,37
2018/08/14,59
2018/08/15,172
2018/08/16,24
2018/08/17,38
2018/08/18,47
2018/08/19,222
2018/08/20,121
2018/08/21,5
2018/08/22,2
2018/08/23,178
2018/08/24,166
2018/08/25,3
2018/08/26,7
2018/08/27,164
2018/08/29,5
2018/08/30,12
2018/08/31,7
